giftBag,InvoiceNo,StockCode,Description,Quantity,InvoiceMonth,UnitPrice,CustomerID,Country,CountryCode
0,538255,10002,INFLATABLE POLITICAL GLOBE ,12,12,0.85,14911,EIRE,11
0,540239,10002,INFLATABLE POLITICAL GLOBE ,12,1,0.85,12682,France,14
0,541631,10002,INFLATABLE POLITICAL GLOBE ,12,1,0.85,12637,France,14
0,542629,10002,INFLATABLE POLITICAL GLOBE ,120,1,0.85,12731,France,14
0,542735,10002,INFLATABLE POLITICAL GLOBE ,12,1,0.85,12681,France,14
0,548606,10002,INFLATABLE POLITICAL GLOBE ,120,4,0.85,12731,France,14
0,536370,10002,INFLATABLE POLITICAL GLOBE ,48,12,0.85,12583,France,14
0,538093,10002,INFLATABLE POLITICAL GLOBE ,12,12,0.85,12682,France,14
0,538196,10002,INFLATABLE POLITICAL GLOBE ,36,12,0.85,12731,France,14
0,541277,10002,INFLATABLE POLITICAL GLOBE ,1,1,0.85,12673,Germany,15
0,543179,10002,INFLATABLE POLITICAL GLOBE ,1,2,0.85,12754,Japan,21
0,541491,10002,INFLATABLE POLITICAL GLOBE ,24,1,0.85,12510,Spain,32
0,541518,10002,INFLATABLE POLITICAL GLOBE ,12,1,0.85,12451,Switzerland,34
0,574501,10120,DOGGY RUBBER,10,11,0.21,12577,France,14
0,540351,10125,MINI FUNKY DESIGN TAPES,20,1,0.42,12735,France,14
0,548409,10125,MINI FUNKY DESIGN TAPES,40,3,0.85,12731,France,14
0,552851,10125,MINI FUNKY DESIGN TAPES,100,5,0.85,12731,France,14
0,560398,10125,MINI FUNKY DESIGN TAPES,100,7,0.85,12731,France,14
0,569097,10125,MINI FUNKY DESIGN TAPES,150,9,0.85,12731,France,14
0,576672,10125,MINI FUNKY DESIGN TAPES,60,11,0.85,12731,France,14
0,540458,10125,MINI FUNKY DESIGN TAPES,20,1,0.42,12501,Germany,15
0,540562,10125,MINI FUNKY DESIGN TAPES,20,1,0.42,12524,Germany,15
0,549193,10125,MINI FUNKY DESIGN TAPES,20,4,0.85,12580,Germany,15
0,564337,10125,MINI FUNKY DESIGN TAPES,20,8,0.85,12649,Germany,15
1,571328,10125,MINI FUNKY DESIGN TAPES,20,10,0.85,12473,Germany,15
0,581494,10125,MINI FUNKY DESIGN TAPES,20,12,0.85,12518,Germany,15
0,568650,10125,MINI FUNKY DESIGN TAPES,20,9,0.85,13505,Switzerland,34
0,557322,10133,COLOURING PENCILS BROWN TUBE,20,6,0.85,17444,Canada,6
0,559557,10133,COLOURING PENCILS BROWN TUBE,20,7,0.42,17444,Canada,6
0,561870,10133,COLOURING PENCILS BROWN TUBE,20,7,0.42,14911,EIRE,11
0,563355,10133,COLOURING PENCILS BROWN TUBE,20,8,0.42,14156,EIRE,11
0,563613,10133,COLOURING PENCILS BROWN TUBE,20,8,0.42,12688,Israel,19
0,539353,10133,COLOURING PENCILS BROWN TUBE,20,12,0.42,12782,Portugal,28
0,544931,10133,COLOURING PENCILS BROWN TUBE,10,2,0.85,13501,Switzerland,34
0,557322,10135,COLOURING PENCILS BROWN TUBE,20,6,1.25,17444,Canada,6
0,546520,10135,COLOURING PENCILS BROWN TUBE,60,3,0.42,14911,EIRE,11
0,579529,10135,COLOURING PENCILS BROWN TUBE,10,11,1.25,12488,France,14
0,544933,10135,COLOURING PENCILS BROWN TUBE,200,2,1.06,12633,Germany,15
0,560991,10135,COLOURING PENCILS BROWN TUBE,10,7,1.25,12438,Norway,26
0,556510,11001,ASSTD DESIGN RACING CAR PEN,16,6,1.69,14911,EIRE,11
0,558684,11001,ASSTD DESIGN RACING CAR PEN,16,7,1.69,14016,EIRE,11
0,539421,11001,ASSTD DESIGN RACING CAR PEN,16,12,1.69,14016,EIRE,11
0,565443,11001,ASSTD DESIGN RACING CAR PEN,16,9,1.69,12567,France,14
0,560997,11001,ASSTD DESIGN RACING CAR PEN,16,7,1.69,12627,Germany,15
1,569721,11001,ASSTD DESIGN RACING CAR PEN,16,10,1.69,12628,Germany,15
0,578811,11001,ASSTD DESIGN RACING CAR PEN,16,11,1.69,12438,Norway,26
0,540546,11001,ASSTD DESIGN RACING CAR PEN,16,1,1.69,12766,Portugal,28
0,564734,11001,ASSTD DESIGN RACING CAR PEN,16,8,1.69,12484,Spain,32
0,565303,11001,ASSTD DESIGN RACING CAR PEN,16,9,1.69,,Unspecified,37
0,578539,11001,ASSTD DESIGN RACING CAR PEN,16,11,1.69,,Unspecified,37
0,567578,15034,PAPER POCKET TRAVELING FAN ,24,9,0.14,12701,Germany,15
0,545579,15034,PAPER POCKET TRAVELING FAN ,24,3,0.14,17508,Greece,16
0,566195,15034,PAPER POCKET TRAVELING FAN ,24,9,0.14,12433,Norway,26
0,573035,15034,PAPER POCKET TRAVELING FAN ,96,10,0.14,12433,Norway,26
0,549682,15034,PAPER POCKET TRAVELING FAN ,24,4,0.14,12596,Spain,32
0,553546,15036,ASSORTED COLOURS SILK FAN,600,5,0.72,12415,Australia,1
1,557889,15036,ASSORTED COLOURS SILK FAN,12,6,0.83,12412,Denmark,10
0,560041,15036,ASSORTED COLOURS SILK FAN,24,7,0.83,14156,EIRE,11
1,565857,15036,ASSORTED COLOURS SILK FAN,12,9,0.83,14911,EIRE,11
0,566625,15036,ASSORTED COLOURS SILK FAN,12,9,0.83,14911,EIRE,11
0,543188,15036,ASSORTED COLOURS SILK FAN,12,2,0.75,12567,France,14
0,558124,15036,ASSORTED COLOURS SILK FAN,36,6,0.83,12493,France,14
0,565443,15036,ASSORTED COLOURS SILK FAN,12,9,0.83,12567,France,14
0,547925,15036,ASSORTED COLOURS SILK FAN,24,3,0.75,12481,Germany,15
0,549316,15036,ASSORTED COLOURS SILK FAN,36,4,0.75,12705,Germany,15
0,552874,15036,ASSORTED COLOURS SILK FAN,120,5,0.83,12621,Germany,15
0,552978,15036,ASSORTED COLOURS SILK FAN,600,5,0.65,12590,Germany,15
1,554104,15036,ASSORTED COLOURS SILK FAN,12,5,0.83,12705,Germany,15
0,556114,15036,ASSORTED COLOURS SILK FAN,48,6,0.83,12569,Germany,15
0,556517,15036,ASSORTED COLOURS SILK FAN,12,6,0.83,12481,Germany,15
0,557055,15036,ASSORTED COLOURS SILK FAN,300,6,0.83,12621,Germany,15
0,565423,15036,ASSORTED COLOURS SILK FAN,12,9,0.83,12569,Germany,15
0,539752,15036,ASSORTED COLOURS SILK FAN,12,12,0.75,12515,Italy,20
0,557525,15036,ASSORTED COLOURS SILK FAN,12,6,0.83,12759,Netherlands,25
0,566195,15036,ASSORTED COLOURS SILK FAN,48,9,0.83,12433,Norway,26
0,546530,15036,ASSORTED COLOURS SILK FAN,12,3,0.75,17404,Sweden,33
0,562285,15036,ASSORTED COLOURS SILK FAN,720,8,0.72,17404,Sweden,33
0,571318,15036,ASSORTED COLOURS SILK FAN,72,10,0.83,17404,Sweden,33
0,554147,15039,SANDALWOOD FAN,10,5,0.85,12423,Belgium,4
0,557734,15039,SANDALWOOD FAN,10,6,0.85,12684,France,14
0,565430,15039,SANDALWOOD FAN,1,9,0.85,14335,Germany,15
0,570082,16008,SMALL FOLDING SCISSOR(POINTED EDGE),24,10,0.12,12524,Germany,15
0,581266,16008,SMALL FOLDING SCISSOR(POINTED EDGE),48,12,0.12,12621,Germany,15
1,549222,16008,SMALL FOLDING SCISSOR(POINTED EDGE),24,4,0.25,12347,Iceland,18
0,563613,16008,SMALL FOLDING SCISSOR(POINTED EDGE),24,8,0.12,12688,Israel,19
0,566195,16008,SMALL FOLDING SCISSOR(POINTED EDGE),24,9,0.12,12433,Norway,26
